Time,L1,T1,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,B5.MN_h:m
3/19/16 9:34:1,94,8,0,0,0,0,0,0,0,0,563
3/19/16 9:40:2,94,8,0,0,0,0,0,0,0,0,569
3/19/16 9:46:3,94,8,0,0,0,0,0,0,0,0,575
3/19/16 9:52:4,94,8,0,0,0,0,0,0,0,0,581
3/19/16 9:58:5,94,8,0,0,0,0,0,0,0,0,587
3/19/16 10:4:6,94,8,0,0,0,0,0,0,0,0,593
3/19/16 10:10:7,94,8,0,0,0,0,0,0,0,0,599
3/19/16 10:16:8,94,8,0,0,0,0,0,0,0,0,605
3/19/16 10:22:9,94,8,0,0,0,0,0,0,0,0,611
3/19/16 10:28:10,94,8,0,0,0,0,0,0,0,0,617
3/19/16 10:34:11,94,8,0,0,0,0,0,0,0,0,623
3/19/16 10:40:12,94,8,0,0,0,0,0,0,0,0,629
3/19/16 10:46:14,94,8,0,0,0,0,0,0,0,0,635
3/19/16 10:52:14,94,8,0,0,0,0,0,0,0,0,641
3/19/16 10:58:15,95,8,0,0,0,0,0,0,0,0,647
3/19/16 11:4:16,95,8,0,0,0,0,0,0,0,0,653
3/19/16 11:10:17,96,8,0,0,0,0,0,0,0,0,659
3/19/16 11:16:19,96,8,0,0,0,0,0,0,0,0,665
3/19/16 11:22:19,97,8,0,0,0,0,0,0,0,0,671
3/19/16 11:28:20,97,8,0,0,0,0,0,0,0,0,677
3/19/16 11:34:21,97,8,0,0,0,0,0,0,0,0,683
3/19/16 11:40:22,98,8,0,0,0,0,0,0,0,0,690
3/19/16 11:46:24,98,8,0,0,0,0,0,0,0,0,696
3/19/16 11:52:24,99,8,0,0,0,0,0,0,0,0,702
3/19/16 11:58:25,99,8,0,0,0,0,0,0,0,0,708
3/19/16 12:4:26,99,8,0,0,0,0,0,0,0,0,714
3/19/16 12:10:27,100,8,0,0,0,0,0,0,0,0,720
3/19/16 12:16:28,100,8,0,0,0,0,0,0,0,0,726
3/19/16 12:22:29,100,8,0,0,0,0,0,0,0,0,732
3/19/16 12:28:30,101,8,0,0,0,0,0,0,0,0,738
3/19/16 12:34:31,101,8,0,0,0,0,0,0,0,0,744
3/19/16 12:40:32,101,8,0,0,0,0,0,0,0,0,750
3/19/16 12:46:33,101,8,0,0,0,0,0,0,0,0,756
3/19/16 12:52:34,101,8,0,0,0,0,0,0,0,0,762
3/19/16 12:58:35,101,8,0,0,0,0,0,0,0,0,768
3/19/16 13:4:36,101,8,0,0,0,0,0,0,0,0,774
3/19/16 13:10:37,101,8,0,0,0,0,0,0,0,0,780
3/19/16 13:16:38,101,8,0,0,0,0,0,0,0,0,786
3/19/16 13:22:39,101,8,0,0,0,0,0,0,0,0,792
3/19/16 13:28:40,101,8,0,0,0,0,0,0,0,0,798
3/19/16 13:34:41,101,8,0,0,0,0,0,0,0,0,804
3/19/16 13:40:42,101,8,0,0,0,0,0,0,0,0,810
3/19/16 13:46:43,101,8,0,0,0,0,0,0,0,0,816
